Identifier,isPresent_4wpi,log2.Ratio_4wpi,pValue_4wpi,fdr_4wpi,isPresent_8wpi,log2.Ratio_8wpi,pValue_8wpi,fdr_8wpi,isPresent_12wpi,log2.Ratio_12wpi,pValue_12wpi,fdr_12wpi,isPresent_14wpi,log2.Ratio_14wpi,pValue_14wpi,fdr_14wpi,isPresent_16wpi,log2.Ratio_16wpi,pValue_16wpi,fdr_16wpi,isPresent_18wpi,log2.Ratio_18wpi,pValue_18wpi,fdr_18wpi,isPresent_20wpi,log2.Ratio_20wpi,pValue_20wpi,fdr_20wpi,isPresent_term,log2.Ratio_term,pValue_term,fdr_term,CellType
Crbn,TRUE,-0.2408,0.07905,0.9959,TRUE,0.1681,0.104,0.2982,TRUE,-0.1316,0.1293,0.5032,TRUE,-0.009778,0.9323,0.9878,TRUE,0.1872,0.1789,0.5776,TRUE,-0.1124,0.5161,0.9753,TRUE,-0.313,0.02894,0.2486,TRUE,-0.2381,0.1422,0.3431,_NE
Crcp,TRUE,0.09705,0.5669,0.9959,TRUE,0.2145,0.0824,0.2628,TRUE,0.09186,0.481,0.8068,TRUE,0.2339,0.1321,0.6513,TRUE,0.3347,0.03423,0.3193,TRUE,0.1972,0.3189,0.9136,TRUE,-0.09789,0.5737,0.8501,TRUE,0.09724,0.6102,0.8032,_NE
Creb1,TRUE,-0.1768,0.2545,0.9959,TRUE,0.3605,0.003753,0.04041,TRUE,-0.2544,0.01003,0.1461,TRUE,-0.06301,0.6901,0.9235,TRUE,0.05436,0.7461,0.916,TRUE,0.1291,0.5185,0.9764,TRUE,-0.3375,0.02366,0.2234,TRUE,-0.1758,0.3996,0.643,_NE
Creb3,TRUE,0.02179,0.8899,0.9988,TRUE,0.008651,0.939,0.9756,TRUE,0.06459,0.5702,0.8514,TRUE,0.06989,0.6104,0.899,TRUE,0.1135,0.4208,0.7648,TRUE,-0.02223,0.8997,0.9959,TRUE,-0.007367,0.9638,0.9901,TRUE,0.3237,0.08086,0.234,_NE
Creb3l1,TRUE,0.3123,0.3763,0.9959,TRUE,-0.5714,0.04141,0.1761,TRUE,-0.4171,0.142,0.5252,TRUE,-0.1621,0.5828,0.8891,TRUE,-0.4128,0.2442,0.6393,TRUE,0.3743,0.258,0.8861,TRUE,0.5718,0.09992,0.4475,TRUE,0.7053,0.03508,0.1287,_NE
Creb3l2,TRUE,0.04396,0.8439,0.9983,TRUE,0.07592,0.6498,0.8133,TRUE,-0.2514,0.2438,0.6397,TRUE,-0.003095,0.9867,0.9981,TRUE,0.1717,0.3355,0.709,TRUE,0.4919,0.02661,0.4007,TRUE,-0.08317,0.6898,0.9055,TRUE,0.3827,0.1267,0.3175,_NE
Creb5,TRUE,-0.07169,0.8856,0.9983,TRUE,-0.1058,0.7615,0.8813,TRUE,-0.03193,0.9305,0.9829,TRUE,-0.4577,0.2977,0.7636,TRUE,-0.6718,0.07863,0.4343,TRUE,0.4156,0.402,0.9491,TRUE,-0.07707,0.8516,0.9622,TRUE,-0.575,0.2106,0.4405,_NE
Crebbp,TRUE,0.01004,0.9466,0.9991,TRUE,-0.2529,0.0349,0.1605,TRUE,0.1381,0.1965,0.5931,TRUE,-0.04821,0.7599,0.9447,TRUE,-0.2877,0.04769,0.3617,TRUE,-0.1861,0.2919,0.9015,TRUE,0.04915,0.7576,0.9291,TRUE,-0.4996,0.01101,0.05359,_NE
Crebl2,TRUE,-0.08207,0.602,0.9959,TRUE,0.1268,0.2747,0.5184,TRUE,0.0173,0.8794,0.9688,TRUE,0.1202,0.3821,0.8138,TRUE,0.05878,0.6994,0.895,TRUE,0.12,0.4894,0.9719,TRUE,-0.1822,0.252,0.6511,TRUE,-0.1478,0.4309,0.6687,_NE
Crebzf,TRUE,-0.03871,0.8008,0.9964,TRUE,0.2019,0.05977,0.2179,TRUE,-0.006595,0.9464,0.9865,TRUE,-0.2706,0.06104,0.5502,TRUE,-0.1186,0.3947,0.7476,TRUE,0.2101,0.3009,0.9043,TRUE,-0.08286,0.6468,0.8839,TRUE,0.05963,0.7791,0.8975,_NE
Creg1,TRUE,0.06608,0.7402,0.9959,TRUE,0.04907,0.6943,0.8397,TRUE,0.1387,0.3022,0.6902,TRUE,-0.1358,0.3699,0.8083,TRUE,0.3295,0.03639,0.3258,TRUE,0.4342,0.02602,0.395,TRUE,0.4353,0.01924,0.2018,TRUE,1.104,7.89E-09,2.069E-07,_NE
Creg2,TRUE,-0.3039,0.1215,0.9959,TRUE,0.2034,0.09518,0.2833,TRUE,-0.05681,0.5207,0.8274,TRUE,0.258,0.02417,0.4319,TRUE,0.1643,0.2743,0.6661,TRUE,-0.1449,0.4047,0.9502,TRUE,-0.3424,0.02338,0.2221,TRUE,-0.3336,0.02704,0.1068,_NE
Creld1,TRUE,0.3189,0.03036,0.975,TRUE,-0.2367,0.06858,0.2368,TRUE,0.1285,0.2032,0.6009,TRUE,0.2625,0.05226,0.5271,TRUE,-0.225,0.08177,0.4399,TRUE,-0.01439,0.9437,0.9975,TRUE,0.4015,0.01185,0.1584,TRUE,-0.3858,0.02546,0.1022,_NE
Creld2,TRUE,0.5796,0.009541,0.7718,TRUE,0.4357,0.02766,0.1405,TRUE,-0.1035,0.6008,0.8632,TRUE,0.4592,0.01613,0.3711,TRUE,0.02994,0.8773,0.9642,TRUE,0.3894,0.1975,0.842,TRUE,0.23,0.3,0.6901,TRUE,-0.168,0.438,0.6758,_NE
Crem,TRUE,-0.007778,0.9724,0.9991,TRUE,0.4221,0.005903,0.05502,TRUE,-0.2388,0.1746,0.5658,TRUE,0.09607,0.6503,0.911,TRUE,0.06073,0.7831,0.9289,TRUE,0.3389,0.1706,0.8096,TRUE,0.009829,0.9641,0.9901,TRUE,0.3144,0.175,0.3921,EC
Crh,TRUE,-0.0712,0.8948,0.9991,TRUE,0.2152,0.5709,0.7613,TRUE,-0.178,0.6801,0.8959,TRUE,-0.1495,0.7031,0.9275,TRUE,-0.5488,0.201,0.5997,TRUE,-0.1531,0.788,0.9896,TRUE,-0.1594,0.7435,0.9249,TRUE,0.03643,0.9452,0.9769,N
Crhbp,TRUE,-0.4243,0.1701,0.9959,TRUE,-0.03888,0.7402,0.8687,TRUE,0.00783,0.9473,0.9867,TRUE,0.3833,0.06614,0.5633,TRUE,0.04007,0.8295,0.9458,TRUE,-0.3198,0.1265,0.7604,TRUE,-0.2751,0.1366,0.5142,TRUE,-1.272,3.245E-10,1.029E-08,N
Crhr1,TRUE,0.6163,0.0182,0.9024,TRUE,-0.1409,0.4757,0.6929,TRUE,0.2208,0.1904,0.5857,TRUE,-0.09229,0.6606,0.915,TRUE,-0.5148,0.0106,0.1816,TRUE,-0.4934,0.1044,0.7154,TRUE,-0.1144,0.5891,0.8566,TRUE,-1.488,1.045E-07,2.224E-06,_NE
Crhr2,TRUE,0.05817,0.9198,0.9991,TRUE,-0.2367,0.4761,0.6932,TRUE,-0.07714,0.8285,0.9527,TRUE,-1.403,0.00255,0.1655,TRUE,-0.8051,0.04114,0.3405,TRUE,-0.55,0.286,0.9,TRUE,-0.5128,0.2639,0.6602,TRUE,0.8215,0.09488,0.2621,_NE
Crim1,TRUE,-0.3325,0.1034,0.9959,TRUE,-0.226,0.05025,0.1964,TRUE,0.03547,0.6768,0.8937,TRUE,0.1045,0.3567,0.8,TRUE,0.03448,0.8035,0.936,TRUE,-0.3542,0.03212,0.4385,TRUE,-0.3661,0.01095,0.1514,TRUE,-0.8517,1.599E-08,3.905E-07,_NE
Crip1,TRUE,0.2228,0.5078,0.9959,TRUE,0.01474,0.9546,0.9817,TRUE,0.2612,0.3116,0.6966,TRUE,-0.3472,0.2747,0.7482,TRUE,0.07792,0.8184,0.9426,TRUE,0.1513,0.6608,0.9825,TRUE,-0.4821,0.145,0.5265,TRUE,1.167,0.0007226,0.005845,_NE
Crip2,TRUE,0.6673,0.0005397,0.2406,TRUE,-0.5381,0.001081,0.0171,TRUE,0.303,0.006138,0.1099,TRUE,-0.007232,0.9575,0.9926,TRUE,-0.5347,0.0002489,0.01816,TRUE,-0.3805,0.1133,0.7361,TRUE,0.7482,0.0002403,0.009976,TRUE,0.1326,0.4147,0.6555,_NE
Crip3,TRUE,0.4711,0.2229,0.9959,TRUE,0.4614,0.1449,0.3611,TRUE,0.2218,0.3973,0.7563,TRUE,0.5642,0.1118,0.6259,TRUE,0.278,0.3422,0.7132,TRUE,0.5227,0.1845,0.8287,TRUE,0.2876,0.3505,0.7283,TRUE,-0.3161,0.4256,0.6645,_NE
Cript,TRUE,0.02779,0.8604,0.9983,TRUE,0.2828,0.01012,0.07712,TRUE,-0.1464,0.1731,0.5651,TRUE,0.2153,0.1179,0.6351,TRUE,0.2895,0.05317,0.3768,TRUE,0.1793,0.3187,0.9136,TRUE,-0.06393,0.7063,0.9116,TRUE,0.06479,0.7071,0.8586,_NE
Crispld1,TRUE,-0.08631,0.7784,0.9959,TRUE,0.2595,0.1832,0.4107,TRUE,0.1874,0.3522,0.7256,TRUE,0.2223,0.3546,0.7999,TRUE,-0.2532,0.2699,0.6612,TRUE,0.05517,0.8574,0.9928,TRUE,-0.09169,0.7271,0.9192,TRUE,-1.14,0.001033,0.007924,EC
Crispld2,TRUE,0.8454,0.02582,0.9512,TRUE,-0.2187,0.4868,0.7007,TRUE,-0.8139,0.008362,0.1315,TRUE,-0.6782,0.0546,0.5366,TRUE,0.01837,0.9482,0.9834,TRUE,0.4182,0.2226,0.8679,TRUE,-0.4575,0.1415,0.5217,TRUE,1.231,0.000153,0.001571,_NE
Crk,TRUE,-0.1785,0.2541,0.9959,TRUE,0.2633,0.0124,0.08729,TRUE,-0.09844,0.2724,0.6626,TRUE,0.1258,0.2622,0.7406,TRUE,0.2029,0.149,0.5403,TRUE,0.1563,0.3289,0.9171,TRUE,-0.1739,0.2168,0.6173,TRUE,-0.108,0.4678,0.6982,_NE
Crkl,TRUE,-0.179,0.2327,0.9959,TRUE,0.1841,0.113,0.314,TRUE,-0.1343,0.1383,0.5187,TRUE,0.07343,0.5838,0.8892,TRUE,0.04363,0.7944,0.9327,TRUE,-0.0727,0.6599,0.9825,TRUE,-0.09073,0.5274,0.8291,TRUE,-0.1227,0.4726,0.7018,_NE
Crlf1,TRUE,-0.2853,0.2482,0.9959,TRUE,-0.1834,0.3116,0.5552,TRUE,0.2619,0.06767,0.3823,TRUE,0.2273,0.1905,0.7059,TRUE,-0.4123,0.01352,0.2039,TRUE,-0.1552,0.5355,0.9787,TRUE,-0.1852,0.4439,0.7871,TRUE,-0.3744,0.07342,0.2198,_NE
Crlf2,TRUE,0.9979,0.007896,0.7516,TRUE,-1.136,1.8E-06,0.0001299,TRUE,0.6484,0.01404,0.17,TRUE,-0.02081,0.9419,0.9899,TRUE,-1.18,0.0008904,0.03931,TRUE,-0.7804,0.1014,0.7082,TRUE,0.7307,0.04382,0.3041,TRUE,-0.2258,0.48,0.7075,_NE
Crlf3,TRUE,-0.1725,0.3634,0.9959,TRUE,0.3124,0.02135,0.1215,TRUE,-0.0002417,0.9986,0.9999,TRUE,0.1073,0.5158,0.8667,TRUE,0.08473,0.6075,0.8578,TRUE,0.2392,0.2606,0.8876,TRUE,-0.002301,0.9899,0.9972,TRUE,0.5565,0.009609,0.04795,_NE
Crls1,TRUE,-0.3033,0.1271,0.9959,TRUE,0.2312,0.07139,0.2418,TRUE,-0.02084,0.8487,0.9596,TRUE,0.1715,0.2379,0.7278,TRUE,0.4079,0.005132,0.1174,TRUE,-0.01492,0.9374,0.9975,TRUE,-0.3668,0.03507,0.2734,TRUE,-0.1558,0.3996,0.643,_NE
Crmp1,TRUE,-0.1625,0.3935,0.9959,TRUE,-0.2455,0.03688,0.1645,TRUE,0.1129,0.2317,0.6268,TRUE,0.2633,0.07407,0.5825,TRUE,0.04984,0.7003,0.8953,TRUE,-0.3249,0.06724,0.606,TRUE,-0.1043,0.5075,0.8191,TRUE,-0.3336,0.05394,0.1763,N
Crnkl1,TRUE,-0.2243,0.2283,0.9959,TRUE,0.2333,0.1052,0.3003,TRUE,-0.1133,0.4694,0.8013,TRUE,0.002824,0.987,0.9981,TRUE,0.007802,0.9644,0.9888,TRUE,0.01096,0.9616,0.9975,TRUE,-0.2174,0.2655,0.661,TRUE,0.08981,0.689,0.8491,_NE
Crocc,TRUE,0.3471,0.08299,0.9959,TRUE,-0.9338,2.657E-08,5.467E-06,TRUE,0.6072,0.0002565,0.01555,TRUE,-0.09975,0.4554,0.8452,TRUE,-0.9434,4.18E-07,0.0003312,TRUE,-0.2249,0.3921,0.9444,TRUE,0.8231,2.269E-05,0.001452,TRUE,-0.8366,1.446E-05,0.0001993,_NE
